Dátum,Időjárás,Hőmérséklet (C),Eső valószínűség (%)
2024-11-12,szeles,9.1,6
2024-11-13,esős,18.7,16
2024-11-14,napos,13.9,13
2024-11-15,napos,4.0,13
2024-11-16,semillen,15.8,17
2024-11-17,napos,8.7,82
2024-11-18,napos,0.8,25
2024-11-19,semillen,3.3,37
2024-11-20,semillen,10.5,40
2024-11-21,semillen,1.4,51
2024-11-22,szeles,18.6,47
2024-11-23,esős,6.3,1
2024-11-24,ködös,19.0,100
2024-11-25,esős,3.4,38
2024-11-26,ködös,0.1,30
2024-11-27,napos,0.3,52
2024-11-28,szeles,17.3,45
2024-11-29,ködös,13.9,78
2024-11-30,semillen,13.7,5
2024-12-01,esős,3.9,67
2024-12-02,szeles,6.1,20
2024-12-03,napos,10.7,47
2024-12-04,napos,1.9,80
2024-12-05,napos,6.8,40
2024-12-06,napos,14.9,29
2024-12-07,esős,9.4,1
2024-12-08,szeles,15.1,7
2024-12-09,napos,15.3,92
2024-12-10,napos,0.9,30
2024-12-11,napos,6.4,83
2024-12-12,semillen,0.3,94
